epoch,loss
1,2.395591974258423
2,2.293823480606079
3,2.2216434478759766
4,2.1417806148529053
5,2.124080181121826
6,2.1215476989746094
7,2.1077282428741455
8,2.107663869857788
9,2.1015143394470215
10,2.071054697036743
11,2.0585134029388428
12,2.046314001083374
13,2.018841505050659
14,2.0213470458984375
15,1.9854973554611206
16,1.9649920463562012
17,1.977297067642212
18,1.9529635906219482
19,1.9384557008743286
20,1.9147546291351318
21,1.9098819494247437
22,1.9351961612701416
23,1.9099634885787964
24,1.9071482419967651
25,1.8988697528839111
26,1.9001847505569458
27,1.8765627145767212
28,1.8730882406234741
29,1.8796406984329224
30,1.8727071285247803
31,1.8652615547180176
32,1.87128484249115
33,1.858368158340454
34,1.8420301675796509
35,1.8417530059814453
36,1.8529465198516846
37,1.8391478061676025
38,1.8317919969558716
39,1.8363560438156128
40,1.8198930025100708
41,1.8279011249542236
42,1.8316792249679565
43,1.827099323272705
44,1.8178271055221558
45,1.8152275085449219
46,1.8082913160324097
47,1.8104474544525146
48,1.7880362272262573
49,1.8095979690551758
50,1.8063020706176758
51,1.8020644187927246
52,1.7975952625274658
53,1.7971616983413696
54,1.7953472137451172
55,1.7938215732574463
56,1.7958095073699951
57,1.7942733764648438
58,1.8055613040924072
59,1.8060259819030762
60,1.7867908477783203
61,1.7791564464569092
62,1.7769768238067627
63,1.7816327810287476
64,1.7875559329986572
65,1.7805700302124023
66,1.778745412826538
67,1.7750393152236938
68,1.7851279973983765
69,1.7840070724487305
70,1.7798482179641724
71,1.7704066038131714
72,1.7658659219741821
73,1.7608578205108643
74,1.7671595811843872
75,1.7563841342926025
76,1.7648447751998901
77,1.7795754671096802
78,1.7723987102508545
79,1.75941002368927
80,1.7730960845947266
81,1.7482019662857056
82,1.7907707691192627
83,1.7489879131317139
84,1.774672508239746
85,1.773929476737976
86,1.7567123174667358
87,1.742012858390808
88,1.7456471920013428
89,1.747818112373352
90,1.7490532398223877
91,1.7344536781311035
92,1.7622863054275513
93,1.7400015592575073
94,1.7392125129699707
95,1.7249436378479004
96,1.7216670513153076
97,1.7384754419326782
98,1.7375311851501465
99,1.7347593307495117
100,1.7348891496658325
101,1.7164764404296875
102,1.7296266555786133
103,1.7220468521118164
104,1.7192113399505615
105,1.7392209768295288
106,1.7026408910751343
107,1.7134774923324585
108,1.6967401504516602
109,1.7208198308944702
110,1.709486484527588
111,1.7068272829055786
112,1.7282357215881348
113,1.699804425239563
114,1.7248286008834839
115,1.70610773563385
116,1.6993849277496338
117,1.7050056457519531
118,1.6958822011947632
119,1.7006334066390991
120,1.7192472219467163
121,1.7083818912506104
122,1.6958070993423462
123,1.70650053024292
124,1.7157585620880127
125,1.6939955949783325
126,1.6943739652633667
127,1.7028241157531738
128,1.699610948562622
129,1.7088431119918823
130,1.701101541519165
131,1.6881814002990723
132,1.688259243965149
133,1.7079620361328125
134,1.6760380268096924
135,1.6835668087005615
136,1.6958532333374023
137,1.6887670755386353
138,1.6776123046875
139,1.6944642066955566
140,1.6898350715637207
141,1.6935703754425049
142,1.6917170286178589
143,1.6860100030899048
144,1.674177885055542
145,1.6787117719650269
146,1.6868988275527954
147,1.6860910654067993
148,1.668836236000061
149,1.674694299697876
150,1.6787109375
151,1.6918495893478394
152,1.6828268766403198
153,1.6779741048812866
154,1.6646227836608887
155,1.6659190654754639
156,1.6602860689163208
157,1.67031991481781
158,1.6639575958251953
159,1.653367280960083
160,1.6790896654129028
161,1.6681578159332275
162,1.6528311967849731
163,1.6685492992401123
164,1.6506141424179077
165,1.6588915586471558
166,1.669495940208435
167,1.6613705158233643
168,1.6450846195220947
169,1.6519556045532227
170,1.670020580291748
171,1.6704213619232178
172,1.661940097808838
173,1.652419924736023
174,1.6600418090820312
175,1.6594481468200684
176,1.6475682258605957
177,1.6669999361038208
178,1.6528240442276
179,1.6556094884872437
180,1.6475372314453125
181,1.659432053565979
182,1.659801721572876
183,1.6846339702606201
184,1.6589813232421875
185,1.6477735042572021
186,1.655065655708313
187,1.6488977670669556
188,1.6340153217315674
189,1.6584923267364502
190,1.652557373046875
191,1.6538575887680054
192,1.6610372066497803
193,1.645501971244812
194,1.656221628189087
195,1.6528395414352417
196,1.6360366344451904
197,1.6464146375656128
198,1.649436593055725
199,1.644834280014038
200,1.6499807834625244
